product_id,is_pb,cate_d1,cate_d3,normal_rows,cancel_rows,orders,buyers,gmv,deliv_total,deliv_normal,deliv_delay,total_buyers,repeat_buyers,cancel_rate,delivery_ontime,rebuy_rate,rebuy_rate_norm,delivery_ontime_norm,cancel_rate_norm
3345609,0,생활용품,수건/타월,2986,109,2577,2474,182165700,2877,2455,420,2474,90,0.03521809369951535,0.8539130434782609,0.03637833468067906,0.05582204390613037,0.5385573453054218,0.0
346468,0,생활용품,수건/타월,3024,98,2418,2282,124963200,2922,2854,64,2282,124,0.03139013452914798,0.978067169294037,0.05433829973707274,0.34063586812572033,0.9320948164926105,0.16638925295220774
310991,0,생활용품,수건/타월,2550,45,2211,2025,85169300,2501,2393,108,2025,159,0.017341040462427744,0.9568172730907637,0.07851851851851852,0.7240921031454107,0.864737969832233,0.7770588453848084
3319074,0,생활용품,수건/타월,3559,44,1896,1770,149493900,3510,3493,14,1770,113,0.012212045517624202,0.9960079840319361,0.06384180790960452,0.49134498685851624,0.988962704020304,1.0
3089742,0,생활용품,수건/타월,2756,63,1843,1724,152203900,2692,2672,20,1724,112,0.022348350478893223,0.9925705794947994,0.06496519721577726,0.509159988356225,0.9780669929023391,0.5594069489410329
2396692,0,생활용품,수건/타월,1998,33,1701,1630,125523200,1963,1960,1,1630,64,0.01624815361890694,0.9994900560938297,0.0392638036809816,0.10158056615618771,1.0,0.8245631727199589
3415767,0,생활용품,수건/타월,1416,32,1239,1170,81558900,1381,1378,1,1170,58,0.022099447513812154,0.9992748368382887,0.04957264957264957,0.26506094111666806,0.9993178088845628,0.5702259719698115
344496,0,패브릭,러그/카페트,18353,1009,17138,16196,710494200,17317,16956,286,16196,785,0.05211238508418552,0.9834125971465028,0.04846875771795505,0.12100639348281732,0.9144152312864157,0.5397917103324378
1215312,0,패브릭,러그/카페트,16944,1024,15482,14588,1549595300,15693,15348,292,14588,795,0.05699020480854853,0.9813299232736573,0.05449684672333425,0.14116673253454803,0.9036694163274619,0.4706543336682678
279905,0,패브릭,러그/카페트,11320,653,11046,10568,820803400,10621,10430,175,10568,418,0.054539380272279295,0.9834983498349835,0.03955336866010598,0.09118976900631444,0.9148576829513939,0.5053918985388028
677286,0,패브릭,러그/카페트,10519,471,7769,5702,870377200,10031,9740,278,5702,1775,0.04285714285714286,0.9722499500898383,0.31129428270782183,1.0,0.8568201650175225,0.6709739196242623
1027916,0,패브릭,러그/카페트,9965,563,7518,7224,610954000,9403,8827,563,7224,221,0.05347644376899696,0.9400425985090521,0.03059246954595792,0.06122094071124946,0.6906423275185367,0.5204577774663237
3289773,0,패브릭,러그/카페트,7124,550,7103,6886,584573400,6561,5429,1123,6886,197,0.07167057597081053,0.8286019536019537,0.02860877142027302,0.05458666129792241,0.11565045543918828,0.2625772812208923
3118571,0,패브릭,러그/카페트,7148,336,6944,6700,351413800,6771,6652,114,6700,221,0.04489577765900588,0.9831510493644694,0.032985074626865674,0.06922276842231186,0.9130657429650323,0.6420786610575888
