product_id,is_pb,cate_d1,cate_d3,selling_cost,normal_rows,cancel_rows,orders,buyers,gmv,deliv_total,deliv_normal,deliv_delay,total_buyers,repeat_buyers,cancel_rate,delivery_ontime,rebuy_rate,rebuy_rate_norm,delivery_ontime_norm,cancel_rate_norm
3641498,0,가구,전신거울,148900.0,158,13,158,151,24075100,144,104,14,151,7,0.07602339181286549,0.8813559322033898,0.046357615894039736,1.0,0.781568376752967,0.5440150102777379
3585807,0,가구,전신거울,129000.0,143,22,143,142,17167000,121,105,9,142,1,0.13333333333333333,0.9210526315789473,0.007042253521126761,0.061087803416242134,0.8572238829562201,0.0
3919961,1,패브릭,러그/카페트,35800.0,2298,171,2249,2131,122211900,2112,1667,426,2131,104,0.0692588092345079,0.7964644051600573,0.048803378695448145,0.14694666953049962,0.15036564858628937,0.23143120913425697
3603649,0,가구,수납침대,149000.0,3858,335,2347,2234,783271000,3544,2434,698,2234,108,0.07989506320057238,0.777139208173691,0.048343777976723366,0.31556462442602595,0.8985358739013743,0.7751747498384718
3767739,0,가구,수납침대,189000.0,2576,130,1659,1550,476417000,2442,1391,855,1550,97,0.04804138950480414,0.6193232413178985,0.06258064516129032,0.4444168834547346,0.6567780143956603,0.950426592474259
310649,0,가구,수납침대,189000.0,1604,268,1177,1130,301164700,1362,827,348,1130,45,0.14316239316239315,0.7038297872340425,0.03982300884955752,0.2384465101341707,0.786233367120374,0.42709194280173013
3454912,0,가구,수납침대,199000.0,2175,174,1167,1130,283412900,2013,1131,708,1130,33,0.07407407407407407,0.6150081566068516,0.02920353982300885,0.14233389237796173,0.6501677476139615,0.8072005400228308
673573,0,가구,수납침대,289000.0,1971,180,1121,1079,584723900,1797,364,1162,1079,38,0.08368200836820083,0.23853211009174313,0.03521779425393883,0.19676653263176777,0.07344509417146128,0.7543398180523857
2993105,0,가구,수납침대,199000.0,1471,173,1078,996,332242200,0,0,0,996,64,0.10523114355231143,,0.0642570281124498,0.459589163104029,,0.6357812591780677
1394398,0,가구,수납침대,189000.0,1451,137,1054,1024,272226000,1317,435,666,1024,29,0.086272040302267,0.39509536784741145,0.0283203125,0.13434015089465726,0.3132839319415225,0.7400900372181289
362306,0,가구,수납침대,239000.0,1193,101,784,755,268495500,1092,840,156,755,25,0.07805255023183925,0.8433734939759037,0.033112582781456956,0.17771309549241618,1.0,0.7853118472400099
3597758,0,가구,수납침대,199000.0,1399,170,704,668,272628300,0,0,0,668,31,0.10834926704907584,,0.04640718562874251,0.2980372923507823,,0.6186260357776816
1122797,0,가구,수납침대,299000.0,837,91,684,663,323398200,750,238,388,663,21,0.0980603448275862,0.3801916932907348,0.03167420814479638,0.16469493504597868,0.2904530325631072,0.6752334021767386
1349842,0,가구,수납침대,472000.0,1180,206,660,576,536950360,991,424,437,576,65,0.14862914862914864,0.4924506387921022,0.11284722222222222,0.8993598090277778,0.4624222123329745,0.3970150675898314
